V1,V2,year_row
Sri Lanka,Norway,Year
  818.9484,31439.5970,1974
  853.5598,32814.9157,1975
  866.3461,34564.0687,1976
  894.5299,35850.3349,1977
  928.336,37095.614,1978
  969.9134,38585.9874,1979
 1008.529,40217.748,1980
 1048.106,40720.215,1981
 1074.557,40666.405,1982
 1110.485,42142.337,1983
 1151.365,44567.005,1984
 1192.417,46901.324,1985
 1227.145,48623.385,1986
 1231.034,49244.963,1987
 1244.432,48855.811,1988
 1256.799,49159.704,1989
 1320.637,49937.456,1990
 1364.532,51233.036,1991
 1407.77,52758.95,1992
 1487.925,53938.021,1993
 1555.01,56343.01,1994
 1625.571,58380.540,1995
 1673.995,61005.880,1996
 1768.997,63882.477,1997
 1840.968,65197.946,1998
 1908.866,66094.735,1999
 2011.98,67846.60,2000
 1965.821,68899.527,2001
 2023.394,69472.984,2002
 2122.215,69719.312,2003
 2216.272,72090.986,2004
 2332.652,73524.255,2005
 2486.648,74729.737,2006
 2628.157,76115.707,2007
 2756.122,75535.212,2008
 2826.235,73141.307,2009
 3025.301,72804.396,2010
 3257.447,72660.675,2011
 3512.134,73661.679,2012
 3634.617,73515.914,2013
 3846.826,74180.324,2014
 3990.353,74809.966,2015
 4174.637,75017.494,2016
 4427.543,76247.412,2017
 4495.71,76373.62,2018
 4458.434,76712.287,2019
 4229.75,75287.21,2020
 4360.567,77812.712,2021
 4035.653,79434.626,2022
 3968.676,78939.405,2023
